,device_id,lat,lon,timestamp
0,van007,14.682743,120.71595,
1,van007,999.0,999.0,2025-05-12 15:32:59
2,van007,999.0,999.0,2025-05-12 15:32:59
3,van007,15.723629,120.737589,
4,van007,16.068442,120.66563,
5,van007,999.0,999.0,2025-05-12 15:32:59
6,van007,999.0,999.0,2025-05-12 15:32:59
7,van007,14.910641,120.907262,
8,van007,999.0,999.0,2025-05-12 15:32:59
9,van007,14.644521,120.821656,
10,van007,999.0,999.0,2025-05-12 15:32:59
11,van007,14.15002,121.018518,
12,van007,14.772391,120.467444,
13,van007,13.768779,121.057061,
14,van007,999.0,999.0,2025-05-12 15:32:59
15,van007,999.0,999.0,2025-05-12 15:32:59
16,van007,999.0,999.0,2025-05-12 15:32:59
17,van007,999.0,999.0,2025-05-12 15:32:59
18,van007,14.766693,120.483287,
19,van007,999.0,999.0,2025-05-12 15:32:59
20,van007,14.703882,120.657275,
21,van007,999.0,999.0,2025-05-12 15:32:59
22,van007,999.0,999.0,2025-05-12 15:32:59
23,van007,999.0,999.0,2025-05-12 15:32:59
24,van007,999.0,999.0,2025-05-12 15:32:59
25,van007,999.0,999.0,2025-05-12 15:32:59
26,van007,14.190025,121.014496,
27,van007,999.0,999.0,2025-05-12 15:32:59
28,van007,999.0,999.0,2025-05-12 15:32:59
29,van007,14.79625,120.401067,
30,van007,999.0,999.0,2025-05-12 15:32:59
31,van007,999.0,999.0,2025-05-12 15:32:59
32,van007,14.496902,120.983516,
33,van007,999.0,999.0,2025-05-12 15:32:59
34,van007,999.0,999.0,2025-05-12 15:32:59
35,van007,14.725848,120.59655,
36,van007,999.0,999.0,2025-05-12 15:32:59
37,van007,999.0,999.0,2025-05-12 15:32:59
38,van007,999.0,999.0,2025-05-12 15:32:59
39,van007,15.79981,120.721714,
40,van007,15.427824,120.799319,
41,van007,999.0,999.0,2025-05-12 15:32:59
42,van007,14.016507,121.032063,
43,van007,999.0,999.0,2025-05-12 15:32:59
44,van007,14.771362,120.470183,
45,van007,999.0,999.0,2025-05-12 15:32:59
46,van007,14.708028,120.645549,
47,van007,999.0,999.0,2025-05-12 15:32:59
48,van007,999.0,999.0,2025-05-12 15:32:59
49,van007,14.778376,120.450848,
50,van007,14.343478,120.999067,
51,van007,14.055753,121.028056,
52,van007,14.23416,121.010014,
53,van007,14.455155,120.987775,
54,van007,14.207511,121.012813,
55,van007,14.472717,120.985948,
56,van007,999.0,999.0,2025-05-12 15:32:59
57,van007,16.180976,120.642138,
58,van007,15.300877,120.825763,
59,van007,999.0,999.0,2025-05-12 15:32:59
60,van007,999.0,999.0,2025-05-12 15:32:59
61,van007,999.0,999.0,2025-05-12 15:32:59
62,van007,13.927345,121.041111,
63,van007,999.0,999.0,2025-05-12 15:32:59
64,van007,16.304261,120.616388,
65,van007,999.0,999.0,2025-05-12 15:32:59
66,van007,999.0,999.0,2025-05-12 15:32:59
67,van007,14.950603,120.898886,
68,van007,999.0,999.0,2025-05-12 15:32:59
69,van007,999.0,999.0,2025-05-12 15:32:59
70,van007,999.0,999.0,2025-05-12 15:32:59
71,van007,999.0,999.0,2025-05-12 15:32:59
72,van007,14.591528,120.968689,
73,van007,14.1716,121.016404,
74,van007,999.0,999.0,2025-05-12 15:32:59
75,van007,999.0,999.0,2025-05-12 15:32:59
76,van007,999.0,999.0,2025-05-12 15:32:59
77,van007,14.776923,120.454961,
78,van007,16.077448,120.663731,
79,van007,15.621948,120.758809,
80,van007,999.0,999.0,2025-05-12 15:32:59
81,van007,14.427691,120.990506,
82,van007,999.0,999.0,2025-05-12 15:32:59
83,van007,999.0,999.0,2025-05-12 15:32:59
84,van007,999.0,999.0,2025-05-12 15:32:59
85,van007,999.0,999.0,2025-05-12 15:32:59
86,van007,999.0,999.0,2025-05-12 15:32:59
87,van007,15.507626,120.782654,
88,van007,14.740531,120.555771,
89,van007,999.0,999.0,2025-05-12 15:32:59
90,van007,999.0,999.0,2025-05-12 15:32:59
